ReviewID,CustomerID,ProductName,Category,Rating,ReviewText,ReviewDate,Channel,Country
REV0108,CUST1888,Protein Powder,Nutrition,2,Very disappointed. Product quality is terrible.,2024-07-30,Mobile App,India
REV0109,CUST4335,Smart Watch,Electronics,3,Okay product. Not sure if I'd buy again.,2024-01-27,In-Store,India
REV0110,CUST1472,Wireless Headphones,Electronics,2,Horrible product. Customer service was unhelpful too.,2024-03-03,Mobile App,UK
REV0111,CUST4681,Smart Watch,Electronics,3,Fine for occasional use but not for heavy duty.,2024-02-17,Website,Australia
REV0112,CUST9337,Running Shoes,Footwear,3,Decent product for the price. Could be better.,2024-05-29,In-Store,Australia
REV0113,CUST3369,Yoga Mat,Sports,2,Extremely poor quality. Nothing like shown in photos.,2024-10-09,Social Media,UK
REV0114,CUST7798,Protein Powder,Nutrition,4,"Amazing product, will definitely buy again. Highly recommend!",2024-05-21,In-Store,India
REV0115,CUST9022,Smart Watch,Electronics,2,Terrible experience. Product arrived damaged.,2024-10-27,Mobile App,Australia
REV0116,CUST6272,Protein Powder,Nutrition,5,Excellent value for money. Works perfectly as described.,2024-08-21,Mobile App,UK
REV0117,CUST8749,Protein Powder,Nutrition,4,Great product! Customer service was also very helpful.,2024-06-11,Social Media,Australia
REV0118,CUST6439,Wireless Headphones,Electronics,4,Absolutely love this product! Exceeded all my expectations.,2024-09-14,Website,Australia
REV0119,CUST7717,Running Shoes,Footwear,4,Five stars all the way. Incredible quality and comfort.,2024-03-14,Mobile App,USA
REV0120,CUST7512,Yoga Mat,Sports,3,Meets basic expectations. Packaging could be improved.,2024-11-15,Website,Canada
REV0121,CUST1588,Protein Powder,Nutrition,5,Excellent value for money. Works perfectly as described.,2024-10-04,Website,UK
REV0122,CUST2646,Smart Watch,Electronics,2,Waste of money. Broke after just two weeks of use.,2024-02-20,Social Media,UK
REV0123,CUST5806,Smart Watch,Electronics,2,Very disappointed. Product quality is terrible.,2024-01-29,In-Store,Canada
REV0124,CUST3950,Yoga Mat,Sports,5,Really impressed with the build quality and performance.,2024-10-16,Mobile App,UK
REV0125,CUST3344,Running Shoes,Footwear,3,"Works as described. Nothing more, nothing less.",2024-09-11,Mobile App,Australia
REV0126,CUST9955,Smart Watch,Electronics,5,Absolutely love this product! Exceeded all my expectations.,2024-05-27,Mobile App,USA
REV0127,CUST7951,Yoga Mat,Sports,2,Absolute garbage. Save your money and look elsewhere.,2024-11-23,In-Store,Australia
REV0128,CUST4886,Smart Watch,Electronics,5,Great product! Customer service was also very helpful.,2024-02-24,Social Media,India
REV0129,CUST7484,Smart Watch,Electronics,3,Meets basic expectations. Packaging could be improved.,2024-12-03,In-Store,USA
REV0130,CUST4770,Protein Powder,Nutrition,2,Very disappointed. Product quality is terrible.,2024-05-26,In-Store,UK
REV0131,CUST1645,Wireless Headphones,Electronics,3,Decent product for the price. Could be better.,2024-11-17,In-Store,Australia
REV0132,CUST6352,Running Shoes,Footwear,3,Decent product for the price. Could be better.,2024-05-31,Social Media,UK
REV0133,CUST9221,Wireless Headphones,Electronics,5,Really impressed with the build quality and performance.,2024-09-28,In-Store,UK
REV0134,CUST2886,Smart Watch,Electronics,2,Horrible product. Customer service was unhelpful too.,2024-06-22,Social Media,USA
REV0135,CUST6992,Wireless Headphones,Electronics,3,It's alright. Not the best I've used but not the worst either.,2024-10-12,Website,Australia
REV0136,CUST5295,Running Shoes,Footwear,5,Best purchase I've made this year. Quality is outstanding.,2024-07-07,Social Media,Canada
REV0137,CUST6374,Running Shoes,Footwear,3,Okay product. Not sure if I'd buy again.,2024-11-13,Mobile App,USA
REV0138,CUST3290,Yoga Mat,Sports,2,Terrible experience. Product arrived damaged.,2024-02-29,Website,USA
REV0139,CUST9807,Smart Watch,Electronics,1,Waste of money. Broke after just two weeks of use.,2024-04-30,Mobile App,Australia
REV0140,CUST3531,Yoga Mat,Sports,5,Really impressed with the build quality and performance.,2024-10-27,Social Media,USA
REV0141,CUST7070,Yoga Mat,Sports,3,Meets basic expectations. Packaging could be improved.,2024-12-19,Mobile App,Australia
REV0142,CUST7018,Yoga Mat,Sports,1,Completely useless. Returned immediately.,2024-12-17,In-Store,USA
REV0143,CUST4475,Yoga Mat,Sports,5,Best purchase I've made this year. Quality is outstanding.,2024-02-16,Website,USA
REV0144,CUST4394,Smart Watch,Electronics,4,"Amazing product, will definitely buy again. Highly recommend!",2024-02-05,Mobile App,UK
REV0145,CUST3370,Smart Watch,Electronics,3,Acceptable. Some minor issues but overall okay.,2024-05-21,Mobile App,India
REV0146,CUST1243,Smart Watch,Electronics,3,Average quality. Nothing special but works fine.,2024-03-08,In-Store,UK
REV0147,CUST3076,Protein Powder,Nutrition,5,"Amazing product, will definitely buy again. Highly recommend!",2024-01-27,Social Media,India
REV0148,CUST9408,Running Shoes,Footwear,3,Okay product. Not sure if I'd buy again.,2024-07-04,Website,Australia
REV0149,CUST9543,Protein Powder,Nutrition,4,Totally worth every penny. Love everything about it!,2024-12-03,In-Store,Australia
REV0150,CUST2768,Running Shoes,Footwear,5,Five stars all the way. Incredible quality and comfort.,2024-08-06,Social Media,Australia
REV0151,CUST3067,Running Shoes,Footwear,1,Completely useless. Returned immediately.,2024-02-03,In-Store,India
REV0152,CUST9692,Protein Powder,Nutrition,5,Excellent value for money. Works perfectly as described.,2024-11-01,In-Store,Australia
REV0153,CUST4522,Protein Powder,Nutrition,3,Average quality. Nothing special but works fine.,2024-12-01,Social Media,Australia
REV0154,CUST2557,Wireless Headphones,Electronics,5,Five stars all the way. Incredible quality and comfort.,2024-07-31,In-Store,Australia
REV0155,CUST8770,Smart Watch,Electronics,3,Standard quality. Delivery took longer than expected.,2024-12-17,Website,USA
REV0156,CUST1982,Running Shoes,Footwear,5,Best purchase I've made this year. Quality is outstanding.,2024-03-07,In-Store,USA
REV0157,CUST6119,Yoga Mat,Sports,4,Great product! Customer service was also very helpful.,2024-05-27,In-Store,USA
REV0158,CUST2773,Protein Powder,Nutrition,5,"Amazing product, will definitely buy again. Highly recommend!",2024-04-24,In-Store,India
REV0159,CUST1430,Smart Watch,Electronics,4,This product changed my daily routine for the better!,2024-08-07,In-Store,USA
REV0160,CUST1100,Wireless Headphones,Electronics,5,This product changed my daily routine for the better!,2024-06-28,Mobile App,UK
REV0161,CUST1502,Protein Powder,Nutrition,3,Average quality. Nothing special but works fine.,2024-11-20,Website,India
REV0162,CUST7062,Wireless Headphones,Electronics,5,Five stars all the way. Incredible quality and comfort.,2024-03-21,In-Store,Canada
REV0163,CUST1815,Protein Powder,Nutrition,3,Product is okay. Does what it's supposed to do.,2024-03-21,Website,Canada
REV0164,CUST5475,Yoga Mat,Sports,3,Okay product. Not sure if I'd buy again.,2024-07-31,Mobile App,India
REV0165,CUST8972,Running Shoes,Footwear,5,Best purchase I've made this year. Quality is outstanding.,2024-12-13,In-Store,USA
REV0166,CUST4349,Wireless Headphones,Electronics,4,Totally worth every penny. Love everything about it!,2024-01-04,In-Store,UK
REV0167,CUST1126,Wireless Headphones,Electronics,3,Meets basic expectations. Packaging could be improved.,2024-03-02,Social Media,Australia
REV0168,CUST6802,Wireless Headphones,Electronics,4,Really impressed with the build quality and performance.,2024-09-13,Website,Australia
REV0169,CUST8033,Running Shoes,Footwear,4,Five stars all the way. Incredible quality and comfort.,2024-06-09,Social Media,Australia
REV0170,CUST8538,Smart Watch,Electronics,5,Absolutely love this product! Exceeded all my expectations.,2024-03-28,In-Store,USA
REV0171,CUST7560,Yoga Mat,Sports,2,Extremely poor quality. Nothing like shown in photos.,2024-10-28,Website,Australia
REV0172,CUST2251,Smart Watch,Electronics,3,It's alright. Not the best I've used but not the worst either.,2024-03-27,Website,India
REV0173,CUST3419,Protein Powder,Nutrition,5,Excellent value for money. Works perfectly as described.,2024-11-26,Mobile App,USA
REV0174,CUST2234,Wireless Headphones,Electronics,4,"Amazing product, will definitely buy again. Highly recommend!",2024-12-01,Mobile App,Australia
REV0175,CUST6295,Yoga Mat,Sports,3,Acceptable. Some minor issues but overall okay.,2024-12-14,In-Store,UK
REV0176,CUST1920,Yoga Mat,Sports,5,Five stars all the way. Incredible quality and comfort.,2024-05-20,In-Store,India
REV0177,CUST7041,Running Shoes,Footwear,4,Five stars all the way. Incredible quality and comfort.,2024-01-30,In-Store,USA
REV0178,CUST1672,Running Shoes,Footwear,3,Fine for occasional use but not for heavy duty.,2024-08-24,Social Media,India
REV0179,CUST8381,Wireless Headphones,Electronics,4,Five stars all the way. Incredible quality and comfort.,2024-02-01,Website,Canada
REV0180,CUST8172,Running Shoes,Footwear,4,"Amazing product, will definitely buy again. Highly recommend!",2024-05-06,Social Media,India
REV0181,CUST7347,Protein Powder,Nutrition,3,Standard quality. Delivery took longer than expected.,2024-05-24,Social Media,Canada
REV0182,CUST2548,Protein Powder,Nutrition,4,Excellent value for money. Works perfectly as described.,2024-06-17,Social Media,Canada
REV0183,CUST2335,Smart Watch,Electronics,3,Acceptable. Some minor issues but overall okay.,2024-06-19,Mobile App,Canada
REV0184,CUST2388,Smart Watch,Electronics,1,Not worth the price at all. Very cheap materials.,2024-10-31,In-Store,India
REV0185,CUST9624,Yoga Mat,Sports,3,Standard quality. Delivery took longer than expected.,2024-12-09,Website,Australia
REV0186,CUST4509,Protein Powder,Nutrition,5,Excellent value for money. Works perfectly as described.,2024-04-02,In-Store,Australia
REV0187,CUST5846,Wireless Headphones,Electronics,4,"Amazing product, will definitely buy again. Highly recommend!",2024-02-09,Website,India
REV0188,CUST6517,Protein Powder,Nutrition,1,Fell apart within days. Very poorly made.,2024-12-04,Mobile App,India
REV0189,CUST1715,Yoga Mat,Sports,4,"Amazing product, will definitely buy again. Highly recommend!",2024-08-12,Social Media,Canada
REV0190,CUST4833,Wireless Headphones,Electronics,2,Absolute garbage. Save your money and look elsewhere.,2024-08-17,Mobile App,Canada
REV0191,CUST8218,Yoga Mat,Sports,2,Extremely poor quality. Nothing like shown in photos.,2024-12-13,Social Media,Canada
REV0192,CUST3267,Yoga Mat,Sports,4,Great product! Customer service was also very helpful.,2024-04-12,In-Store,USA
REV0193,CUST9452,Yoga Mat,Sports,1,Fell apart within days. Very poorly made.,2024-12-30,Website,Canada
REV0194,CUST3414,Running Shoes,Footwear,3,Meets basic expectations. Packaging could be improved.,2024-09-19,Social Media,USA
REV0195,CUST1872,Wireless Headphones,Electronics,1,Completely useless. Returned immediately.,2024-07-31,Social Media,India
REV0196,CUST1461,Smart Watch,Electronics,5,Best purchase I've made this year. Quality is outstanding.,2024-04-24,In-Store,USA
REV0197,CUST8740,Smart Watch,Electronics,3,Decent product for the price. Could be better.,2024-05-26,Mobile App,Australia
REV0198,CUST4533,Yoga Mat,Sports,3,Average quality. Nothing special but works fine.,2024-05-11,Mobile App,India
REV0199,CUST5934,Protein Powder,Nutrition,5,Best purchase I've made this year. Quality is outstanding.,2024-05-01,Website,USA
REV0200,CUST2816,Wireless Headphones,Electronics,5,Totally worth every penny. Love everything about it!,2024-02-02,Social Media,India
REV0201,CUST5772,Protein Powder,Nutrition,4,Really impressed with the build quality and performance.,2024-03-14,Social Media,USA
REV0202,CUST2402,Protein Powder,Nutrition,5,Totally worth every penny. Love everything about it!,2024-04-05,In-Store,USA
REV0203,CUST8702,Protein Powder,Nutrition,4,Really impressed with the build quality and performance.,2024-07-18,Website,Australia
REV0204,CUST6649,Smart Watch,Electronics,5,Absolutely love this product! Exceeded all my expectations.,2024-02-04,Mobile App,USA
REV0205,CUST6772,Protein Powder,Nutrition,3,Standard quality. Delivery took longer than expected.,2024-01-23,In-Store,UK
REV0206,CUST2033,Yoga Mat,Sports,1,Horrible product. Customer service was unhelpful too.,2024-03-10,Social Media,USA
REV0207,CUST6080,Smart Watch,Electronics,4,Fantastic quality and fast delivery. Very happy with my order.,2024-06-10,Social Media,India
REV0208,CUST1783,Yoga Mat,Sports,5,Fantastic quality and fast delivery. Very happy with my order.,2024-07-01,In-Store,Canada
REV0209,CUST7334,Running Shoes,Footwear,3,"Works as described. Nothing more, nothing less.",2024-08-13,In-Store,UK
REV0210,CUST7955,Yoga Mat,Sports,3,Standard quality. Delivery took longer than expected.,2024-02-12,Website,Australia
REV0211,CUST2680,Protein Powder,Nutrition,2,Worst product I've ever bought. Do not recommend.,2024-06-13,Website,Canada
REV0212,CUST8272,Smart Watch,Electronics,5,Totally worth every penny. Love everything about it!,2024-03-26,In-Store,Australia
REV0213,CUST1939,Running Shoes,Footwear,3,Standard quality. Delivery took longer than expected.,2024-05-20,Website,Australia
REV0214,CUST8179,Smart Watch,Electronics,4,"Amazing product, will definitely buy again. Highly recommend!",2024-03-14,Website,UK
REV0215,CUST1530,Running Shoes,Footwear,5,Excellent value for money. Works perfectly as described.,2024-07-15,Mobile App,Australia
REV0216,CUST7012,Smart Watch,Electronics,4,Best purchase I've made this year. Quality is outstanding.,2024-09-28,Social Media,Canada
REV0217,CUST9176,Smart Watch,Electronics,4,Best purchase I've made this year. Quality is outstanding.,2024-04-05,Social Media,India
REV0218,CUST5678,Running Shoes,Footwear,5,This product changed my daily routine for the better!,2024-04-19,Social Media,UK
REV0219,CUST8292,Running Shoes,Footwear,5,Best purchase I've made this year. Quality is outstanding.,2024-03-29,Website,Canada
REV0220,CUST3580,Smart Watch,Electronics,3,Fine for occasional use but not for heavy duty.,2024-06-02,Mobile App,Canada
REV0221,CUST9094,Protein Powder,Nutrition,4,Fantastic quality and fast delivery. Very happy with my order.,2024-05-01,Website,Canada
REV0222,CUST2412,Protein Powder,Nutrition,3,Okay product. Not sure if I'd buy again.,2024-11-09,Website,Canada
REV0223,CUST2208,Yoga Mat,Sports,2,Horrible product. Customer service was unhelpful too.,2024-07-28,Mobile App,Canada
REV0224,CUST3981,Running Shoes,Footwear,5,Really impressed with the build quality and performance.,2024-03-06,Mobile App,Australia
REV0225,CUST3507,Protein Powder,Nutrition,1,Very disappointed. Product quality is terrible.,2024-09-22,In-Store,UK
REV0226,CUST5653,Wireless Headphones,Electronics,5,Fantastic quality and fast delivery. Very happy with my order.,2024-09-22,Website,Canada
REV0227,CUST5961,Wireless Headphones,Electronics,3,Fine for occasional use but not for heavy duty.,2024-03-05,Website,India
REV0228,CUST6531,Wireless Headphones,Electronics,3,Acceptable. Some minor issues but overall okay.,2024-03-28,Website,USA
REV0229,CUST4453,Running Shoes,Footwear,5,Totally worth every penny. Love everything about it!,2024-11-29,Social Media,India
REV0230,CUST5949,Running Shoes,Footwear,5,Really impressed with the build quality and performance.,2024-11-24,Social Media,UK
REV0231,CUST8202,Yoga Mat,Sports,4,Best purchase I've made this year. Quality is outstanding.,2024-03-21,Social Media,Australia
REV0232,CUST6231,Yoga Mat,Sports,4,Totally worth every penny. Love everything about it!,2024-06-09,In-Store,Australia
REV0233,CUST4960,Wireless Headphones,Electronics,3,Fine for occasional use but not for heavy duty.,2024-06-12,Social Media,USA
REV0234,CUST5754,Smart Watch,Electronics,4,"Amazing product, will definitely buy again. Highly recommend!",2024-01-26,Social Media,India
REV0235,CUST6123,Yoga Mat,Sports,5,"Amazing product, will definitely buy again. Highly recommend!",2024-10-22,Mobile App,UK
